policy,step_idx,required_pages,predicted_pages,demand_misses,prefetch_submitted,evictions,stall_ms,overlap_ms,transfer_wait_ms,compute_ms,copy_busy_ms,queue_delay_ms,transfer_backlog,inflight_transfers,churn
score,0,12,4,10,2,0,0.27,0.05,0.27,0.05,3.24,1.35,0,0,0
score,1,12,4,4,0,0,0.2699999999999998,0.05,0.2699999999999998,0.05,1.0799999999999996,0.27,0,0,0
score,2,12,4,5,0,1,0.27,0.05,0.27,0.05,1.35,0.54,0,0,0
score,3,12,4,3,1,4,0.27,0.05,0.27,0.05,1.08,0.27,0,0,0
score,4,12,4,5,1,6,0.2699999999999996,0.05,0.2699999999999996,0.05,1.62,0.5400000000000005,0,0,1
score,5,12,4,4,0,4,0.2699999999999996,0.05,0.2699999999999996,0.05,1.08,0.27000000000000046,0,0,1
score,6,12,4,3,2,5,0.2699999999999996,0.05,0.2699999999999996,0.05,1.3499999999999996,0.54,0,0,2
score,7,12,4,3,1,4,0.2699999999999996,0.05,0.2699999999999996,0.05,1.08,0.27000000000000046,0,0,3
score,8,12,4,5,1,6,0.2699999999999996,0.05,0.2699999999999996,0.05,1.6199999999999992,0.54,0,0,4
score,9,12,4,3,0,3,0.2699999999999996,0.05,0.2699999999999996,0.05,0.8100000000000005,0.27000000000000046,0,0,4
score,10,12,4,6,0,6,0.2699999999999996,0.05,0.2699999999999996,0.05,1.6199999999999974,0.5399999999999991,0,0,4
score,11,12,4,6,1,7,0.2699999999999996,0.05,0.2699999999999996,0.05,1.889999999999997,0.8099999999999987,0,0,4
